Date,Startup,Industry,Location,Investor,Type,Amount,YearMonth
2018-09-06,Dream11,Consumer Internet,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Equity,100000000.0,2018-09
2018-09-10,MamaEarth,Healthcare,Gurugram,Stellaris Ventures & Others,Private Equity,4000000.0,2018-09
2018-09-11,AutoGrid,Technology,Bengaluru,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",Private Equity,32000000.0,2018-09
2018-09-11,Pharmeasy,Consumer Internet,Mumbai,InnoVen Capital,Debt Funding,5500000.0,2018-09
2018-09-11,Upwards,Fin-Tech,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity,5000000.0,2018-09
2018-09-12,Kissht,Fin-Tech,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",Private Equity,30000000.0,2018-09
2018-08-01,dishq,Food-Tech,Bengaluru,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Seed/ Angel Funding,400000.0,2018-08
2018-08-01,HealthFin,Finance,Pune,"Axilor, Sprout Venture Partners and others",Seed/ Angel Funding,0.0,2018-08
2018-08-02,Samosa Labs,Consumer Internet,Hyderabad,Xiaomi and Sequoia Capital India,Private Equity,7000000.0,2018-08
2018-08-03,ZiffyHomes,Consumer Internet,Gurugram,Y Combinator,Private Equity,120000.0,2018-08
2018-08-07,My OmNamo,Consumer Internet,Mumbai,,Seed/ Angel Funding,1000000.0,2018-08
2018-08-07,ShopX,Consumer Internet,Bengaluru,Fung Strategic Holdings,Private Equity,35000000.0,2018-08
2018-08-07,MakeMyTrip,Consumer Internet,Gurugram,MakeMyTrip Limited,Private Equity,10000000.0,2018-08
2018-08-08,Hansel io,Consumer Internet,Bengaluru,Vertex Ventures,Seed/ Angel Funding,4000000.0,2018-08
2018-08-08,Metro Bikes,Consumer Internet,Bengaluru,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Private Equity,12200000.0,2018-08
2018-08-08,Phone Pe,Consumer Internet,Bengaluru,Flipkart,Private Equity,66000000.0,2018-08
2018-08-09,quizizz,Ed-Tech,Bengaluru,"Nexus Venture Partners, Prime Venture Partners and Others",Seed/ Angel Funding,3000000.0,2018-08
2018-08-09,Happy EMI,Fin-Tech,Bengaluru,AJ Ventures and Jain International Trade Organisation (JITO),Seed/ Angel Funding,1000000.0,2018-08
2018-08-13,Inthree,Consumer Internet,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund",Seed/ Angel Funding,4000000.0,2018-08
2018-08-13,Observe AI,Technology,Bengaluru,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Private Equity,8000000.0,2018-08
2018-08-16,Enakshi,Consumer Internet,Ahemadabad,,Seed/ Angel Funding,114811.0,2018-08
2018-08-17,EazyDiner,Consumer Internet,Gurugram,Denlow Investment Trust and Beenext,Private Equity,5850000.0,2018-08
2018-08-20,Finzy,Finance,Bengaluru,,Seed / Angel Funding,1000000.0,2018-08
2018-08-20,RawPressery,Consumer Internet,Mumbai,Alteria Capital,Debt Funding,4800000.0,2018-08
2018-08-22,Pi Ventures,Technology,Bengaluru,CDC Group plc\\xc2\\xa0,Private Equity,6000000.0,2018-08
2018-08-22,Revv,Consumer Internet,Gurugram,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",Private Equity,14270000.0,2018-08
2018-08-26,ZestMoney,Consumer Internet,Bengaluru,"Xiaomi,PayU, Ribbit Capital and Omidyar Network",Private Equity,13400000.0,2018-08
2018-08-26,Shubh Loans,Fin-Tech,Bengaluru,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Private Equity,4200000.0,2018-08
2018-08-27,MyUpchar,Healthcare,Delhi,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",Private Equity,5000000.0,2018-08
2018-08-28,Narvar,IT,Bengaluru,Accel (formerly known as Accel Partners),Private Equity,3000000.0,2018-08
2018-08-30,True North,Finance,Mumbai,,Private Equity,600000000.0,2018-08
2018-07-01,Leena AI,Technology,Gurugram,Y Combinator,Seed/ Angel Funding,0.0,2018-07
2018-07-02,Biryani By Kilo,Consumer Internet,Gurugram,Ajay Relan and Vinay Mittal,Seed/ Angel Funding,1000000.0,2018-07
2018-07-04,Anchanto,IT,Pune,MDI Ventures & Telkom Indonesia,Private Equity,4000000.0,2018-07
2018-07-06,PolicyBazaar,Consumer Internet,Gurugram,Info Edge (India) Ltd and Temasek,Private Equity,27700000.0,2018-07
2018-07-09,zippserv,Consumer Internet,Bengaluru,Info Edge (India) Ltd,Seed/ Angel Funding,440000.0,2018-07
2018-07-09,Groww,Consumer Internet,Bengaluru,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Seed/ Angel Funding,1100000.0,2018-07
2018-07-10,Avenue Growth,Consumer Internet,Gurugram,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",Seed/ Angel Funding,437000.0,2018-07
2018-07-10,iNICU,Healthcare,Delhi,Venture Catalysts,Seed/ Angel Funding,0.0,2018-07
2018-07-10,Kinara Capital,Finance,Bengaluru,ResponsAbility,Private Equity,5000000.0,2018-07
2018-07-10,Shop 101,Consumer Internet,Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma",Private Equity,5000000.0,2018-07
2018-07-11,Sambandh,Consumer Internet,Rourkela,Base of Pyramid Asia (BOPA) Pte Ltd,Private Equity,2500000.0,2018-07
2018-07-12,19th mile,IT,Gurugram,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others",Seed/ Angel Funding,180000.0,2018-07
2018-07-12,5th Vital,Healthcare,Bengaluru,Brand Capital and Others,Seed/ Angel Funding,500000.0,2018-07
2018-07-13,MEngage,Healthcare,Jaipur,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-founders Lab and others.",Seed/ Angel Funding,175000.0,2018-07
2018-07-17,Ofbusiness,Finance,Gurugram,"Creation Investments, Falcon Edge, Matrix Partners India and Zodius Capital",Private Equity,29000000.0,2018-07
2018-07-17,Cars24,Consumer Internet,Gurugram,"Kingsway FCI Fund, KCK Global & Others",Private Equity,49700000.0,2018-07
2018-07-18,The Ken,Consumer Internet,Bengaluru,Omidyar Network & Others,Seed/ Angel Funding,1500000.0,2018-07
2018-07-19,Book My Show,Consumer Internet,Mumbai,"TPG Growth, The Rise Fund & Others",Private Equity,100000000.0,2018-07
2018-07-20,HousingMan,Consumer Internet,Bengaluru,,Seed/ Angel Funding,1500000.0,2018-07
2018-07-21,PaySense,Consumer Internet,Mumbai,PayU & Others,Private Equity,18000000.0,2018-07
2018-07-23,Yulu Bikes,Technology,Bengaluru,,Seed/ Angel Funding,0.0,2018-07
2018-07-23,VTION,Technology,Gurugram,"AngelList, Rahul Khanna, Rajeev Arora and Ram Ramsundar.",Seed/ Angel Funding,280000.0,2018-07
2018-07-23,Log9 Materials,Technology,Bengaluru,"Metaform Ventures, Hemant Luthra, Micro venture capital firm GEMS Partners and Others",Seed/ Angel Funding,436000.0,2018-07
2018-07-24,kidovators,Ed-Tech,Bengaluru,Gray Matters,Seed/ Angel Funding,180000.0,2018-07
2018-07-24,Digit,Consumer Internet,Pune,Fairfax,Private Equity,45000000.0,2018-07
2018-07-25,Black Soil,Finance,Mumbai,"Allcargo Logistics, Navneet Education and Mahavir Agency",Private Equity,17000000.0,2018-07
2018-07-25,Trell,Consumer Internet,Bengaluru,"BeeNext , WEH Ventures and Sprout Ventures",Seed/ Angel Funding,1250000.0,2018-07
2018-07-25,iqlect,Technology,Bengaluru,Ventureast and Exfinity,Seed/ Angel Funding,2500000.0,2018-07
2018-07-26,Entropik,IT,Bengaluru,"Bharat Innovation, IDFC-Parampara Capital, Arthavida Ventures, Jitendra Gupta & Others",Seed/ Angel Funding,1100000.0,2018-07
2018-07-26,Bitla Software,Technology,Bengaluru,MakeMyTrip,Private Equity,0.0,2018-07
2018-07-26,TheCapitalNet,Fin-Tech,Hyderabad,Lindwall Family Investments LLC (LFI),Private Equity,500000.0,2018-07
2018-07-30,Shuttl,Consumer Internet,Gurugram,Amazon Alexa Fund & Dentsu Ventures,Private Equity,11000000.0,2018-07
2018-07-30,Cure Fit,Consumer Internet,Bengaluru,"IDG Ventures, Accel Partners, Kalaari Capital and Others",Private Equity,120000000.0,2018-07
2018-07-31,Five Star Group,Fin-Tech,Chennai,"TPG, Norwest Venture Partners, Sequoia Capital & Matrix Partners",Private Equity,100000000.0,2018-07
2018-07-31,Healthsignz,Healthcare,Hyderabad,Kantilal Patel,Seed/ Angel Funding,5000000.0,2018-07
